#timestamp imgname x y z qx qy qz qw
1779938766.903669 pano/1779938766.903669.jpg 505960.559554 2495883.991034 19.539168 -0.521187 0.482403 -0.285778 0.643415
1779938768.002994 pano/1779938768.002994.jpg 505961.251634 2495882.746638 19.543369 -0.579696 0.455435 -0.248078 0.628481
1779938768.902443 pano/1779938768.902443.jpg 505961.681670 2495881.646960 19.517103 -0.499139 0.499563 -0.296325 0.643030
1779938770.501461 pano/1779938770.501461.jpg 505962.278284 2495879.681942 19.522738 -0.485647 0.524695 -0.345021 0.608114
1779938771.101093 pano/1779938771.101093.jpg 505962.565105 2495878.999081 19.565959 -0.484130 0.522810 -0.357756 0.603571
1779938772.200419 pano/1779938772.200419.jpg 505963.330091 2495877.765454 19.565634 -0.522153 0.491271 -0.296691 0.630860
1779938772.899990 pano/1779938772.899990.jpg 505963.897674 2495876.855549 19.566827 -0.542156 0.409938 -0.323724 0.658195
1779938773.299745 pano/1779938773.299745.jpg 505964.050984 2495876.375088 19.576848 -0.552733 0.471840 -0.353227 0.589139
1779938774.199225 pano/1779938774.199225.jpg 505964.437933 2495875.268467 19.587099 -0.535936 0.497080 -0.368940 0.574081
1779938775.198581 pano/1779938775.198581.jpg 505964.748325 2495874.055122 19.568947 -0.480706 0.527745 -0.399055 0.575467
1779938775.698274 pano/1779938775.698274.jpg 505964.909399 2495873.459061 19.577051 -0.522225 0.513557 -0.370727 0.571053
1779938776.297906 pano/1779938776.297906.jpg 505964.974428 2495872.758992 19.583945 -0.452536 0.557147 -0.432932 0.545315
1779938777.197354 pano/1779938777.197354.jpg 505964.978463 2495871.722794 19.545000 -0.335934 0.643831 -0.510132 0.460864
1779938777.896927 pano/1779938777.896927.jpg 505965.157415 2495870.883180 19.596026 -0.412564 0.628792 -0.464482 0.467619
1779938778.796374 pano/1779938778.796374.jpg 505965.453037 2495869.833696 19.595912 -0.396845 0.553756 -0.501624 0.533143
1779938779.595884 pano/1779938779.595884.jpg 505965.769888 2495868.879401 19.581820 -0.452300 0.549076 -0.436234 0.551036
1779938780.495332 pano/1779938780.495332.jpg 505965.995205 2495867.882153 19.580671 -0.370844 0.591738 -0.470891 0.539058
1779938781.194903 pano/1779938781.194903.jpg 505965.751455 2495867.304105 19.556332 -0.138567 0.689122 -0.605867 0.372607
1779938782.294227 pano/1779938782.294227.jpg 505964.763184 2495866.825066 19.608430 0.069842 0.713803 -0.678242 0.159983
1779938783.193676 pano/1779938783.193676.jpg 505963.712157 2495866.641277 19.590838 -0.156397 -0.681402 0.714100 -0.035951
1779938784.293061 pano/1779938784.293061.jpg 505962.332301 2495866.506018 19.629997 0.142722 0.707856 -0.691628 0.014835
1779938785.292389 pano/1779938785.292389.jpg 505961.059810 2495866.541953 19.609288 -0.213741 -0.686404 0.694442 0.030256
1779938785.991963 pano/1779938785.991963.jpg 505960.184807 2495866.629722 19.613236 0.199343 0.698474 -0.682828 -0.078377
1779938786.791469 pano/1779938786.791469.jpg 505959.224997 2495866.802447 19.601883 -0.265377 -0.652605 0.704225 0.088032
1779938787.590979 pano/1779938787.590979.jpg 505958.226152 2495867.069017 19.680586 -0.268748 -0.646083 0.697855 0.152804
1779938788.290611 pano/1779938788.290611.jpg 505957.365942 2495867.280584 19.674583 -0.138518 -0.688128 0.710169 0.054340
1779938789.090058 pano/1779938789.090058.jpg 505956.505845 2495867.779639 19.671665 -0.209313 -0.645024 0.732378 0.061272
1779938790.089446 pano/1779938790.089446.jpg 505955.620627 2495868.651515 19.685511 -0.325530 -0.628700 0.692754 0.137325
1779938791.088833 pano/1779938791.088833.jpg 505954.861315 2495869.641477 19.682276 -0.341054 -0.627728 0.675428 0.182855
1779938791.588527 pano/1779938791.588527.jpg 505954.578171 2495870.178633 19.682783 -0.376691 -0.583666 0.668313 0.266074
1779938792.687854 pano/1779938792.687854.jpg 505953.968846 2495871.424446 19.652944 -0.419602 -0.566270 0.668984 0.236078
1779938793.987056 pano/1779938793.987056.jpg 505953.275984 2495872.929992 19.684415 -0.364223 -0.594662 0.679033 0.229417
1779938794.786566 pano/1779938794.786566.jpg 505952.890818 2495873.943866 19.713145 -0.411056 -0.559021 0.681402 0.232852
1779938795.686015 pano/1779938795.686015.jpg 505952.437564 2495875.035976 19.648114 -0.459461 -0.529169 0.647064 0.300306
1779938796.385585 pano/1779938796.385585.jpg 505952.008322 2495875.822772 19.633473 -0.470812 -0.526119 0.648857 0.283758
1779938796.885279 pano/1779938796.885279.jpg 505951.727392 2495876.468480 19.631749 -0.445295 -0.508761 0.692080 0.252782
1779938797.884666 pano/1779938797.884666.jpg 505951.372453 2495877.705372 19.603975 -0.555352 -0.453634 0.624597 0.309318
1779938798.784114 pano/1779938798.784114.jpg 505951.081579 2495878.826847 19.624982 -0.538660 -0.439241 0.630636 0.345268
1779938799.383747 pano/1779938799.383747.jpg 505950.909789 2495879.608591 19.660432 -0.555520 -0.383325 0.587878 0.445935
1779938800.283194 pano/1779938800.283194.jpg 505950.689471 2495880.675375 19.659237 0.595378 0.376535 -0.573576 -0.418041
1779938801.182643 pano/1779938801.182643.jpg 505950.329169 2495881.822897 19.706259 -0.533953 -0.400892 0.604547 0.434400
1779938801.582397 pano/1779938801.582397.jpg 505950.159788 2495882.344916 19.696572 -0.509971 -0.460133 0.597760 0.413389
1779938802.781662 pano/1779938802.781662.jpg 505949.533252 2495883.854187 19.724429 -0.442770 -0.506293 0.637995 0.374946
1779938803.681110 pano/1779938803.681110.jpg 505949.018191 2495884.961047 19.738704 -0.427450 -0.515109 0.630338 0.393222
1779938804.480619 pano/1779938804.480619.jpg 505948.391996 2495885.878176 19.729246 -0.392448 -0.573750 0.625513 0.354301
1779938805.380068 pano/1779938805.380068.jpg 505947.685951 2495886.856123 19.704136 -0.432145 -0.537822 0.633044 0.351074
1779938806.279517 pano/1779938806.279517.jpg 505947.055249 2495887.797275 19.702112 -0.428224 -0.551092 0.608082 0.378363
1779938807.378844 pano/1779938807.378844.jpg 505946.422873 2495889.076339 19.692780 -0.482997 -0.489560 0.624588 0.370047
1779938808.578108 pano/1779938808.578108.jpg 505945.629165 2495890.362591 19.711901 -0.452294 -0.559793 0.615315 0.321636
1779938809.777373 pano/1779938809.777373.jpg 505944.401945 2495891.083469 19.702355 -0.196869 -0.680712 0.695781 0.117313
1779938810.776761 pano/1779938810.776761.jpg 505943.408857 2495890.543558 19.706334 -0.210080 0.705112 -0.619068 0.274662
1779938812.075963 pano/1779938812.075963.jpg 505942.934538 2495889.175282 19.712556 -0.347289 0.640816 -0.529104 0.434505
1779938812.875473 pano/1779938812.875473.jpg 505942.974893 2495888.188776 19.702924 -0.464241 0.563206 -0.430994 0.530588
1779938813.674986 pano/1779938813.674986.jpg 505943.185021 2495887.224335 19.713713 -0.465621 0.538517 -0.404748 0.573912
1779938814.674366 pano/1779938814.674366.jpg 505943.483865 2495886.001777 19.737974 -0.495696 0.527522 -0.398157 0.563451
1779938815.174065 pano/1779938815.174065.jpg 505943.631862 2495885.413046 19.717772 -0.436483 0.570497 -0.411059 0.561289
1779938815.973574 pano/1779938815.973574.jpg 505944.009677 2495884.431195 19.761639 -0.500442 0.411615 -0.383526 0.658057
1779938816.673145 pano/1779938816.673145.jpg 505944.296847 2495883.614950 19.760190 -0.550887 0.365764 -0.226884 0.715027
1779938817.272777 pano/1779938817.272777.jpg 505944.495632 2495882.912010 19.727608 -0.499072 0.416101 -0.284108 0.705032
