#timestamp x y z qw qx qy qz
1779938699.223357 505979.381577 2495851.773074 19.483179 -0.135969 -0.034688 0.087789 0.986206
1779938699.323357 505979.300111 2495851.875334 19.489732 -0.153420 -0.019687 0.071452 0.985378
1779938699.423356 505979.217101 2495851.977345 19.517058 -0.152938 -0.010827 0.073243 0.985458
1779938699.523357 505979.136400 2495852.077536 19.548425 -0.130823 -0.032132 0.059286 0.989110
1779938699.623356 505979.056538 2495852.167846 19.567580 -0.139247 -0.051335 0.038868 0.988162
1779938699.723359 505978.976659 2495852.251677 19.563038 -0.149100 -0.045258 0.006878 0.987762
1779938699.823361 505978.897417 2495852.326644 19.555839 -0.141803 -0.019367 0.010665 0.989648
1779938699.923363 505978.823919 2495852.400651 19.566663 -0.126536 0.008490 0.038414 0.991182
1779938700.023363 505978.766589 2495852.480943 19.581067 -0.090391 -0.005797 0.031801 0.995382
1779938700.123364 505978.708324 2495852.563765 19.577876 -0.086330 -0.037463 0.012827 0.995479
1779938700.223364 505978.629104 2495852.657399 19.561131 -0.081806 -0.054140 0.012206 0.995102
1779938700.323365 505978.532998 2495852.764958 19.551166 -0.116129 -0.049557 0.019165 0.991812
1779938700.423366 505978.431356 2495852.876525 19.563268 -0.133976 -0.036075 0.027664 0.989941
1779938700.523368 505978.336885 2495852.985304 19.585515 -0.166279 -0.039329 0.032746 0.984750
1779938700.623369 505978.248717 2495853.088485 19.594096 -0.162982 -0.059826 0.017967 0.984650
1779938700.723370 505978.164441 2495853.181578 19.584193 -0.144195 -0.070779 -0.000770 0.987015
1779938700.823371 505978.083384 2495853.265261 19.573435 -0.118828 -0.057984 0.000184 0.991220
1779938700.923373 505978.008489 2495853.348750 19.580180 -0.122498 -0.036174 0.019980 0.991608
1779938701.023374 505977.945503 2495853.433458 19.585958 -0.100073 -0.030760 0.030423 0.994039
1779938701.123376 505977.880465 2495853.525804 19.569521 -0.092963 -0.013011 0.028516 0.995176
1779938701.223377 505977.799383 2495853.631184 19.552349 -0.093515 0.020407 0.034664 0.994805
1779938701.323377 505977.707071 2495853.751475 19.554677 -0.099095 0.043693 0.035675 0.993478
1779938701.423378 505977.608285 2495853.868968 19.576648 -0.112145 0.074676 0.051119 0.989562
1779938701.523378 505977.510838 2495853.979772 19.597053 -0.114528 0.081486 0.059756 0.988267
1779938701.623379 505977.415769 2495854.079979 19.597100 -0.122793 0.076161 0.053683 0.988048
1779938701.723383 505977.322554 2495854.170669 19.580937 -0.109800 0.065131 0.036005 0.991164
1779938701.823383 505977.231644 2495854.258137 19.578350 -0.083602 0.054945 0.037194 0.994288
1779938701.923383 505977.153476 2495854.346257 19.595754 -0.085281 0.037310 0.060750 0.993803
1779938702.023385 505977.089028 2495854.434467 19.598055 -0.054455 0.003989 0.044188 0.997530
1779938702.123386 505977.019969 2495854.533999 19.577656 -0.084026 -0.002065 0.007544 0.996433
1779938702.223387 505976.936990 2495854.647602 19.564883 -0.123158 -0.003288 0.016903 0.992238
1779938702.323387 505976.845321 2495854.772053 19.569849 -0.138071 -0.018395 0.022152 0.990004
1779938702.423388 505976.752727 2495854.890923 19.589643 -0.166457 -0.037857 0.029304 0.984886
1779938702.523389 505976.660079 2495855.003610 19.603537 -0.176500 -0.054553 0.017360 0.982634
1779938702.623391 505976.571978 2495855.112087 19.598423 -0.164522 -0.061498 -0.008562 0.984417
1779938702.723391 505976.492782 2495855.210411 19.590355 -0.145506 -0.054846 -0.006599 0.987814
1779938702.823393 505976.420590 2495855.307821 19.592358 -0.121062 -0.042468 0.014712 0.991627
1779938702.923393 505976.358635 2495855.408773 19.599749 -0.093954 -0.048719 0.041551 0.993515
1779938703.023395 505976.295892 2495855.513172 19.590974 -0.059248 -0.042030 0.055556 0.995810
1779938703.123396 505976.222540 2495855.622110 19.566876 -0.057091 -0.016290 0.043697 0.997279
1779938703.223397 505976.135049 2495855.739454 19.551616 -0.062748 -0.005362 0.027073 0.997648
1779938703.323396 505976.033525 2495855.859391 19.563039 -0.087798 0.013801 0.034342 0.995451
1779938703.423398 505975.926901 2495855.978132 19.577053 -0.098427 0.016688 0.036286 0.994342
1779938703.523399 505975.817819 2495856.092406 19.570409 -0.114230 0.021293 0.030896 0.992745
1779938703.623401 505975.712618 2495856.200992 19.550559 -0.108740 0.031921 0.031119 0.993070
1779938703.723403 505975.620905 2495856.301103 19.540013 -0.080891 0.040281 0.041962 0.995024
1779938703.823402 505975.543376 2495856.396473 19.557193 -0.067345 0.030287 0.072828 0.994607
1779938703.923403 505975.468762 2495856.496224 19.562846 -0.057324 0.016164 0.067037 0.995971
1779938704.023404 505975.382694 2495856.600911 19.544948 -0.068740 0.018446 0.064594 0.995370
1779938704.123406 505975.289153 2495856.716504 19.523933 -0.081070 0.012666 0.061631 0.994720
1779938704.223405 505975.192317 2495856.841541 19.525807 -0.093900 0.007286 0.056728 0.993937
1779938704.323407 505975.096072 2495856.963033 19.546736 -0.109128 0.013281 0.067525 0.991643
